cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
359,414,7,671,1,250
360,413,7,671,1,251
361,413,7,672,1,253
362,411,7,672,1,254
363,410,7,672,1,254
364,411,7,673,1,254
365,411,7,673,1,255
366,410,7,673,1,255
367,410,7,673,1,255
368,410,7,673,1,255
369,410,7,673,1,255
370,410,7,673,1,255
371,412,7,675,1,255
372,413,7,676,1,255
373,413,7,676,1,255
374,413,7,676,1,258
375,410,7,676,1,259
376,409,7,676,1,260
377,408,7,676,1,260
378,408,7,676,1,260
379,409,7,677,1,261
380,408,7,677,1,263
381,406,7,677,1,263
382,406,7,677,1,264
383,405,7,677,1,265
384,404,7,677,1,265
385,404,7,677,1,266
386,403,7,677,1,266
387,405,7,679,1,266
388,406,7,680,1,267
389,405,7,680,1,267
390,405,7,680,1,267
391,405,7,680,1,268
392,404,7,680,1,269
393,403,7,680,1,269
394,404,7,681,1,269
395,404,7,681,1,269
396,406,7,683,1,271
397,404,7,683,1,272
398,403,7,683,1,273
399,402,7,683,1,274
400,403,7,685,1,275
401,402,7,685,1,275
402,402,7,685,1,276
403,401,7,685,1,278
404,400,7,686,1,278
405,401,7,687,1,279
406,400,7,687,1,279
407,400,7,687,1,280
408,400,7,688,1,280
409,400,7,688,1,281
410,399,7,688,1,283
411,397,7,688,1,283
412,397,7,688,1,284
413,397,7,689,1,285
414,396,7,689,1,285
415,396,7,689,1,286
416,398,7,692,1,288
417,397,7,693,1,289
418,396,7,693,1,289
419,396,7,693,1,290
420,397,7,695,1,290
421,398,7,697,2,290
422,398,7,697,2,290
423,398,7,697,2,291
424,399,7,699,2,292
425,400,7,701,2,293
426,399,7,701,2,294
427,398,7,701,2,294
428,398,7,701,2,298
429,394,7,701,2,299
430,393,7,701,2,299
431,393,7,701,2,301
432,392,7,702,2,301
433,392,7,702,2,301
434,392,7,702,2,301
435,392,7,702,2,301
436,392,7,702,2,302
437,391,7,702,2,302
438,391,7,702,2,302
439,393,7,704,2,302
440,394,7,705,2,303
441,393,7,705,2,304
442,392,7,705,2,304
443,392,7,705,2,304
444,392,7,705,2,305
445,391,7,705,2,305
446,391,7,705,2,306
447,391,7,706,2,308
448,389,7,706,2,309
449,388,7,706,2,310
450,387,7,706,2,310
451,387,7,706,2,310
452,387,7,706,2,311
453,388,7,708,2,312
454,388,7,709,2,313
455,388,7,710,2,315
456,386,7,710,2,315
457,388,7,712,2,315
458,388,7,712,2,316
459,387,7,712,2,319
460,384,7,712,2,319
461,385,7,713,2,319
462,385,7,713,2,319
463,385,7,713,2,320
464,384,7,713,2,321
465,383,7,713,2,323
466,381,7,713,2,324
467,380,7,713,2,324
468,380,7,713,2,324
469,380,7,713,2,324
470,380,7,713,2,326
471,379,7,714,2,327
472,379,7,715,2,327
473,379,7,715,2,328
474,378,7,715,2,329
475,377,7,715,2,329
476,377,7,715,2,330
477,376,7,715,2,331
478,375,7,715,2,332
479,377,7,718,2,333
480,376,7,718,2,334
481,375,7,718,2,335
482,374,7,718,2,335
483,374,7,718,2,336
484,374,7,719,2,338
