cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
8793,304,5,4060,9,3742
8794,304,5,4060,9,3742
8795,304,5,4060,9,3742
8796,304,5,4060,9,3743
8797,305,5,4062,9,3743
8798,306,5,4063,9,3743
8799,307,5,4064,9,3745
8800,307,5,4066,9,3745
8801,307,5,4066,9,3746
8802,306,5,4066,9,3747
8803,306,5,4067,9,3748
8804,305,5,4067,9,3749
8805,305,5,4068,9,3749
8806,305,5,4068,9,3750
8807,304,5,4068,9,3750
8808,304,5,4068,9,3750
8809,304,5,4068,9,3750
8810,304,5,4068,9,3750
8811,304,5,4068,9,3750
8812,304,5,4068,9,3751
8813,304,5,4069,9,3751
8814,305,5,4070,9,3752
8815,304,5,4070,9,3752
8816,304,5,4070,9,3753
8817,304,5,4071,9,3753
8818,305,5,4072,9,3754
8819,304,5,4072,9,3754
8820,306,5,4074,9,3756
8821,304,5,4074,9,3756
8822,304,5,4074,9,3756
8823,304,5,4074,9,3757
8824,303,5,4074,9,3758
8825,302,5,4074,9,3758
8826,304,5,4076,9,3759
8827,303,5,4076,9,3760
8828,305,5,4079,9,3760
8829,306,5,4080,9,3760
8830,306,5,4080,9,3760
8831,307,5,4081,9,3760
8832,307,5,4081,9,3760
8833,307,5,4081,9,3762
8834,306,5,4082,9,3762
8835,306,5,4082,9,3763
8836,305,5,4082,9,3764
8837,305,5,4083,9,3765
8838,304,5,4083,9,3766
8839,303,5,4083,9,3767
8840,304,5,4085,9,3769
8841,304,5,4087,9,3771
8842,302,5,4087,9,3771
8843,302,5,4087,9,3771
8844,302,5,4087,9,3772
8845,301,5,4087,9,3772
8846,301,5,4087,9,3773
8847,300,5,4087,9,3773
8848,300,5,4087,9,3773
8849,302,5,4089,9,3773
8850,302,5,4089,9,3773
8851,302,5,4089,9,3774
8852,302,5,4090,9,3775
8853,301,5,4090,9,3775
8854,301,5,4090,9,3775
8855,301,5,4090,9,3775
8856,303,5,4092,9,3776
8857,302,5,4092,9,3776
8858,302,5,4092,9,3778
8859,300,5,4092,9,3778
8860,302,5,4094,9,3778
8861,302,5,4094,9,3779
8862,301,5,4094,9,3779
8863,303,5,4096,9,3779
8864,303,5,4096,9,3780
8865,302,5,4096,9,3780
8866,302,5,4096,9,3781
8867,301,5,4096,9,3781
8868,301,5,4096,9,3781
8869,302,5,4097,9,3781
8870,302,5,4097,9,3783
8871,300,5,4097,9,3783
8872,300,5,4097,9,3783
8873,300,5,4097,9,3783
